"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Dim.1","Dim.2","Dim.3","Dim.4"
"1",5.1,3.5,1.4,0.2,"setosa",-2.26470280880759,0.480026596520989,-0.127706022300155,-0.0241682038554754
"2",4.9,3,1.4,0.2,"setosa",-2.08096115196577,-0.674133556605354,-0.234608853984571,-0.103006774771624
"3",4.7,3.2,1.3,0.2,"setosa",-2.3642290538903,-0.341908023884677,0.0442014848387451,-0.0283770534384002
"4",4.6,3.1,1.5,0.2,"setosa",-2.29938421704271,-0.597394507674677,0.0912901063206811,0.0659555595763301
"5",5,3.6,1.4,0.2,"setosa",-2.38984216631384,0.646835382902026,0.015738195676257,0.0359228132929269
"6",5.4,3.9,1.7,0.4,"setosa",-2.07563094817651,1.48917752332117,0.0269682944397797,-0.00660818021916525
"7",4.6,3.4,1.4,0.3,"setosa",-2.44402883513415,0.0476441976300133,0.335470401143112,0.0367755571929222
"8",5,3.4,1.5,0.2,"setosa",-2.23284715887201,0.223148072689591,-0.0886954979477279,0.0246120961956668
"9",4.4,2.9,1.4,0.2,"setosa",-2.33464047790762,-1.11532767546167,0.145076863636999,0.0268592207878666
"10",4.9,3.1,1.5,0.1,"setosa",-2.18432817493394,-0.469013561402377,-0.253765567300008,0.0398992877334734
"11",5.4,3.7,1.5,0.2,"setosa",-2.16631010070132,1.04369065305386,-0.268681102216137,-0.0167313671849967
"12",4.8,3.4,1.6,0.2,"setosa",-2.3261308664427,0.133078335239231,0.0937592443811102,0.133483413395216
"13",4.8,3,1.4,0.1,"setosa",-2.21845089882241,-0.728676165316572,-0.230911237206604,-0.00242503814255028
"14",4.3,3,1.1,0.1,"setosa",-2.63310069576523,-0.961506729170164,0.180796084403178,0.0192155335566095
"15",5.8,4,1.2,0.2,"setosa",-2.19874060326669,1.86005711329393,-0.472900997873079,-0.194731769456412
"16",5.7,4.4,1.5,0.4,"setosa",-2.26221453160102,2.68628448511059,0.0305266092655083,-0.0505337373481699
"17",5.4,3.9,1.3,0.4,"setosa",-2.20758769582459,1.48360936315557,-0.00534409407826635,-0.188817432073501
"18",5.1,3.5,1.4,0.3,"setosa",-2.1903495091923,0.488838316486326,-0.0442153164784557,-0.0930904383665677
"19",5.7,3.8,1.7,0.3,"setosa",-1.89857199580284,1.40501879446655,-0.374343274557657,-0.0610959670924443
"20",5.1,3.8,1.5,0.3,"setosa",-2.34336905307499,1.12784938190848,0.1326304667813,0.0377564196882825
"21",5.4,3.4,1.7,0.2,"setosa",-1.91432299608257,0.408855707755905,-0.421292594087358,-0.010921286349095
"22",5.1,3.7,1.5,0.4,"setosa",-2.2070128431948,0.924121426746898,0.159865277226251,-0.0595973298532298
"23",4.6,3.6,1,0.2,"setosa",-2.77434470292733,0.458343667752915,0.332179097556864,-0.0196484300894796
"24",5.1,3.3,1.7,0.5,"setosa",-1.81866952869585,0.085558526287365,0.0344885957999793,-0.151140998558841
"25",4.8,3.4,1.9,0.2,"setosa",-2.22716330570664,0.137254455363426,0.117993535769645,0.270140352285968
"26",5,3,1.6,0.2,"setosa",-1.95184633090038,-0.625618587776678,-0.305640982325209,-0.0435616509624374
"27",5,3.4,1.6,0.4,"setosa",-2.05115137272941,0.242163552661666,0.0863640108251805,-0.0676800598629298
